"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub080_ToD","OA","Night","Julia","2",45.7647058823529,-24.3529411764706,FALSE
"Sub080_ToD","OA","Night","Julia","3",28.15,9.75,FALSE
"Sub081_ToD","OA","Night","Julia","Overall",22.4339622641509,4.24528301886792,FALSE
"Sub081_ToD","OA","Night","Julia","1",35.4666666666667,-0.666666666666667,FALSE
"Sub081_ToD","OA","Night","Julia","2",18.2105263157895,4.84210526315789,FALSE
"Sub081_ToD","OA","Night","Julia","3",16.3684210526316,7.52631578947368,FALSE
"Sub082_ToD","YA","Morning","Julia","Overall",33.875,18.975,FALSE
"Sub082_ToD","YA","Morning","Julia","1",24.8,19.7333333333333,FALSE
"Sub082_ToD","YA","Morning","Julia","2",23.8571428571429,16.5714285714286,FALSE
"Sub082_ToD","YA","Morning","Julia","3",59,21,FALSE
